post_id,rugby_ignite_url,team_a,team_b,date,season,home_points,away_points,match_status,competition_name
1354,https://rugbyignite.co.za/fixture/2025/witteberg-hoerskool-vs-bethlehem-voortrekker-hoerskool/,Witteberg Hoerskool,Bethlehem Voortrekker Hoerskool,2025-05-31,2025,34,33,migrated,
1355,https://rugbyignite.co.za/fixture/2025/witteberg-hoerskool-vs-hoerskool-jim-fouche/,Witteberg Hoerskool,Hoerskool Jim Fouche,2025-07-26,2025,35,18,migrated,
1356,https://rugbyignite.co.za/fixture/2025/goudveld-hoerskool-vs-hoerskool-diamantveld/,Goudveld Hoërskool,Hoerskool Diamantveld,2025-03-22,2025,13,46,migrated,
1357,https://rugbyignite.co.za/fixture/2025/goudveld-hoerskool-vs-welkom-gimnasium/,Goudveld Hoërskool,Welkom Gimnasium,2025-05-31,2025,12,45,migrated,
1358,https://rugbyignite.co.za/fixture/2025/goudveld-hoerskool-vs-hoerskool-sentraal/,Goudveld Hoërskool,Hoerskool Sentraal,2025-07-26,2025,26,32,migrated,
1359,https://rugbyignite.co.za/fixture/2025/hoerskool-jim-fouche-vs-bethlehem-voortrekker-hoerskool/,Hoerskool Jim Fouche,Bethlehem Voortrekker Hoerskool,2025-03-22,2025,28,10,migrated,
1360,https://rugbyignite.co.za/fixture/2025/hoerskool-jim-fouche-vs-df-malan/,Hoerskool Jim Fouche,DF Malan,2025-04-01,2025,40,26,migrated,
1361,https://rugbyignite.co.za/fixture/2025/glenwood-high-school-vs-hoerskool-jim-fouche/,Glenwood High School,Hoerskool Jim Fouche,2025-04-03,2025,13,15,migrated,
1362,https://rugbyignite.co.za/fixture/2025/hoerskool-jim-fouche-vs-hoerskool-fichardtpark/,Hoerskool Jim Fouche,Hoërskool Fichardtpark,2025-04-12,2025,20,16,migrated,
1363,https://rugbyignite.co.za/fixture/2025/hoerskool-jim-fouche-vs-dinamika/,Hoerskool Jim Fouche,Dinamika,2025-05-03,2025,45,15,migrated,
1364,https://rugbyignite.co.za/fixture/2025/hoerskool-jim-fouche-vs-hoerskool-sentraal/,Hoerskool Jim Fouche,Hoerskool Sentraal,2025-05-17,2025,37,21,migrated,
1365,https://rugbyignite.co.za/fixture/2025/jim-fouche-vs-goudveld/,Hoerskool Jim Fouche,Goudveld Hoërskool,2025-08-02,2025,44,38,migrated,
1367,https://rugbyignite.co.za/fixture/2025/hoerskool-sentraal-vs-trio-high-school/,Hoerskool Sentraal,Trio High School,2025-03-22,2025,10,25,migrated,
1368,https://rugbyignite.co.za/fixture/2025/hoerskool-sentraal-vs-hermanus-high-school/,Hoerskool Sentraal,Hermanus High School,2025-03-31,2025,20,18,migrated,
1369,https://rugbyignite.co.za/fixture/2025/hoerskool-sentraal-vs-hoerskool-fichardtpark/,Hoerskool Sentraal,Hoërskool Fichardtpark,2025-04-28,2025,21,26,migrated,
1370,https://rugbyignite.co.za/fixture/2025/hoerskool-sentraal-vs-witteberg-hoerskool/,Hoerskool Sentraal,Witteberg Hoerskool,2025-08-02,2025,7,70,migrated,
1371,https://rugbyignite.co.za/fixture/2025/trio-high-school-vs-hoerskool-jim-fouche/,Trio High School,Hoerskool Jim Fouche,2025-03-15,2025,31,14,migrated,
1372,https://rugbyignite.co.za/fixture/2025/trio-high-school-vs-goudveld-hoerskool/,Trio High School,Goudveld Hoërskool,2025-04-12,2025,35,15,migrated,
1373,https://rugbyignite.co.za/fixture/2025/trio-high-school-vs-witteberg-hoerskool/,Trio High School,Witteberg Hoerskool,2025-05-17,2025,20,19,migrated,
1374,https://rugbyignite.co.za/fixture/2025/trio-high-school-vs-hoerskool-fichardtpark/,Trio High School,Hoërskool Fichardtpark,2025-07-26,2025,22,13,migrated,
1375,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-durban-high-school/,Bethlehem Voortrekker Hoerskool,Durban High School,2025-03-08,2025,8,63,migrated,
1376,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-hoerskool-sentraal/,Bethlehem Voortrekker Hoerskool,Hoerskool Sentraal,2025-03-15,2025,49,5,migrated,
1377,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-stellenberg-high-school/,Bethlehem Voortrekker Hoerskool,Stellenberg High School,2025-03-29,2025,7,52,migrated,
1378,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-sacs/,Bethlehem Voortrekker Hoerskool,SACS,2025-04-19,2025,8,21,migrated,
1380,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-goudveld-hoerskool/,Bethlehem Voortrekker Hoerskool,Goudveld Hoërskool,2025-05-17,2025,57,15,migrated,
1381,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-trio-high-school/,Bethlehem Voortrekker Hoerskool,Trio High School,2025-05-24,2025,43,46,migrated,
1382,https://rugbyignite.co.za/fixture/2025/bethlehem-voortrekker-hoerskool-vs-hoerskool-diamantveld/,Bethlehem Voortrekker Hoerskool,Hoerskool Diamantveld,2025-07-26,2025,31,33,migrated,
1383,https://rugbyignite.co.za/fixture/2025/hoerskool-hugenote-vs-charlie-hofmeyr/,Hoërskool Hugenote,Charlie Hofmeyr,2025-07-26,2025,13,21,migrated,
1385,https://rugbyignite.co.za/fixture/2025/hoerskool-ermelo-vs-hoerskool-eldoraigne/,Hoërskool Ermelo,Hoërskool Eldoraigne,2025-06-14,2025,32,29,migrated,
1397,https://rugbyignite.co.za/fixture/2025/hoerskool-jim-fouche-vs-goudveld-hoerskool-2/,Hoerskool Jim Fouche,Goudveld Hoërskool,2025-08-02,2025,44,38,migrated,
1405,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-garsfontein/,Jeppe High School For Boys,Garsfontein,2025-03-08,2025,18,26,migrated,
1406,https://rugbyignite.co.za/fixture/2025/affies-vs-helpmekaar/,Afrikaanse Hoër Seunskool,Helpmekaar,2025-03-15,2025,40,8,migrated,
1407,https://rugbyignite.co.za/fixture/2025/pretoria-boys-high-school-vs-parktown-boys-high-school/,Pretoria Boys High School,Parktown Boys High School,2025-03-21,2025,64,16,migrated,
1408,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-hoerskool-monument/,Jeppe High School For Boys,Hoërskool Monument,2025-04-12,2025,24,70,migrated,
1409,https://rugbyignite.co.za/fixture/2025/affies-vs-noordheuwel/,Afrikaanse Hoër Seunskool,Hoërskool Noordheuwel,2025-04-19,2025,45,27,migrated,
1410,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-noordheuwel/,Jeppe High School For Boys,Hoërskool Noordheuwel,2025-04-21,2025,20,21,migrated,
1411,https://rugbyignite.co.za/fixture/2025/affies-vs-garsfontein/,Afrikaanse Hoër Seunskool,Garsfontein,2025-04-26,2025,41,25,migrated,
1412,https://rugbyignite.co.za/fixture/2025/king-edward-vii-school-vs-parktown-boys-high-school/,King Edward VII School,Parktown Boys High School,2025-04-26,2025,17,14,migrated,
1413,https://rugbyignite.co.za/fixture/2025/king-edward-vii-school-vs-st-benedicts-college/,King Edward VII School,St Benedict’s College,2025-05-31,2025,43,0,migrated,
1414,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-durban-high-school/,Jeppe High School For Boys,Durban High School,2025-07-26,2025,10,24,migrated,
1465,https://rugbyignite.co.za/fixture/2025/paarl-boys-high-vs-hoerskool-durbanville/,Paarl Boys High,Hoerskool Durbanville,2025-08-17,2025,54,14,migrated,
